Clans,Pfam_List,Pfam_List_in_combine
CL0220,"['PF00036', 'PF00404', 'PF00612', 'PF01023', 'PF02761', 'PF03556', 'PF05042', 'PF05517', 'PF08356', 'PF08414', 'PF08726', 'PF08763', 'PF08976', 'PF09068', 'PF09069', 'PF09279', 'PF10591', 'PF12354', 'PF12763', 'PF13202', 'PF13405', 'PF13499', 'PF13833', 'PF14513', 'PF14658', 'PF14788', 'PF15157', 'PF17743', 'PF17901', 'PF17958', 'PF17959', 'PF17974', 'PF19914', 'PF20742', 'PF21008', 'PF21116', 'PF21161', 'PF21354', 'PF21521', 'PF21550']","['PF01023', 'PF02761', 'PF03556', 'PF05517', 'PF08356', 'PF08726', 'PF08763', 'PF08976', 'PF09068', 'PF09069', 'PF09279', 'PF10591', 'PF12763', 'PF13405', 'PF14513', 'PF14658', 'PF14788', 'PF15157', 'PF17743', 'PF17958', 'PF17959', 'PF19914']"
CL0221,"['PF00076', 'PF02994', 'PF03467', 'PF03468', 'PF03880', 'PF04059', 'PF04847', 'PF05172', 'PF07576', 'PF08152', 'PF08489', 'PF08675', 'PF08777', 'PF08952', 'PF09162', 'PF11608', 'PF11767', 'PF11835', 'PF12220', 'PF13893', 'PF14605', 'PF14703', 'PF15023', 'PF15407', 'PF16367', 'PF16842', 'PF17774', 'PF17797', 'PF17799', 'PF18440', 'PF18444', 'PF18528', 'PF19977', 'PF20846', 'PF20991', 'PF21569']","['PF02994', 'PF03467', 'PF04847', 'PF05172', 'PF07576', 'PF08152', 'PF08675', 'PF08777', 'PF08952', 'PF09162', 'PF11608', 'PF11835', 'PF12220', 'PF16367', 'PF17797', 'PF17799', 'PF18440']"
CL0222,"['PF01554', 'PF01943', 'PF03023', 'PF04506', 'PF07260', 'PF13440', 'PF14667', 'PF16933']","['PF04506', 'PF07260']"
CL0223,"['PF01661', 'PF02789', 'PF05028', 'PF10021', 'PF10154', 'PF11633', 'PF14519', 'PF18295', 'PF20016', 'PF21337']","['PF01661', 'PF02789', 'PF05028', 'PF10154', 'PF18295']"
CL0224,"['PF00465', 'PF00731', 'PF01761', 'PF13685']","['PF00465', 'PF00731']"
CL0225,"['PF04977', 'PF04999', 'PF06005', 'PF19579']",[]
CL0226,"['PF00878', 'PF02157', 'PF07915', 'PF09451', 'PF13015']","['PF00878', 'PF02157', 'PF07915', 'PF13015']"
CL0227,"['PF02746', 'PF03952', 'PF05034', 'PF18374', 'PF21508']","['PF02746', 'PF03952']"
CL0228,"['PF01553', 'PF03279', 'PF03982', 'PF04028', 'PF19576']",['PF03982']
CL0229,"['PF00097', 'PF00130', 'PF00569', 'PF00628', 'PF01363', 'PF01428', 'PF01485', 'PF02132', 'PF02148', 'PF02318', 'PF02891', 'PF03107', 'PF03854', 'PF04564', 'PF04641', 'PF05290', 'PF05715', 'PF05883', 'PF06416', 'PF07227', 'PF07496', 'PF07800', 'PF07975', 'PF08746', 'PF09416', 'PF11789', 'PF11793', 'PF12678', 'PF12861', 'PF12906', 'PF13341', 'PF13445', 'PF13639', 'PF13771', 'PF13831', 'PF13832', 'PF13901', 'PF13920', 'PF13923', 'PF14445', 'PF14446', 'PF14447', 'PF14569', 'PF14570', 'PF14634', 'PF14835', 'PF15227', 'PF15446', 'PF15906', 'PF16685', 'PF16744', 'PF16866', 'PF17034', 'PF17120', 'PF17121', 'PF17122', 'PF17123', 'PF17807', 'PF17976', 'PF17977', 'PF17978', 'PF17980', 'PF17981', 'PF17982', 'PF18716', 'PF20723', 'PF20826', 'PF21202', 'PF21255', 'PF21257', 'PF21272', 'PF21362', 'PF21363', 'PF21369']","['PF01428', 'PF02148', 'PF02318', 'PF02891', 'PF04564', 'PF05715', 'PF07496', 'PF07975', 'PF08746', 'PF09416', 'PF11789', 'PF11793', 'PF12678', 'PF12861', 'PF12906', 'PF13341', 'PF13445', 'PF13901', 'PF14634', 'PF14835', 'PF15906', 'PF16685', 'PF16744', 'PF16866', 'PF17034', 'PF17121', 'PF17807', 'PF17976', 'PF17978', 'PF17980', 'PF17981', 'PF17982', 'PF18716']"
CL0230,"['PF01126', 'PF03070', 'PF11251', 'PF12981', 'PF14518']",['PF01126']
CL0231,"['PF01503', 'PF03819', 'PF04447', 'PF08761', 'PF12643', 'PF18595']",['PF12643']
CL0232,"['PF01106', 'PF01883']","['PF01106', 'PF01883']"
CL0233,"['PF01592', 'PF02657', 'PF03450', 'PF10437']","['PF01592', 'PF03450']"
CL0234,"['PF01148', 'PF01864']",[]
CL0235,"['PF03357', 'PF03398', 'PF04012']","['PF03357', 'PF03398']"
CL0236,"['PF00603', 'PF01646', 'PF01771', 'PF01870', 'PF01930', 'PF01939', 'PF01974', 'PF02021', 'PF02646', 'PF02732', 'PF02923', 'PF02963', 'PF02976', 'PF03008', 'PF03749', 'PF03834', 'PF03838', 'PF03852', 'PF03871', 'PF04313', 'PF04411', 'PF04471', 'PF04480', 'PF04555', 'PF04556', 'PF04754', 'PF05091', 'PF05367', 'PF05685', 'PF06023', 'PF06044', 'PF06054', 'PF06250', 'PF06300', 'PF06319', 'PF06356', 'PF06616', 'PF07147', 'PF07152', 'PF07788', 'PF07832', 'PF08011', 'PF08373', 'PF08378', 'PF08634', 'PF08652', 'PF08682', 'PF08696', 'PF08722', 'PF08769', 'PF08774', 'PF08814', 'PF08862', 'PF08877', 'PF09002', 'PF09015', 'PF09019', 'PF09126', 'PF09194', 'PF09195', 'PF09208', 'PF09225', 'PF09226', 'PF09233', 'PF09254', 'PF09455', 'PF09491', 'PF09499', 'PF09504', 'PF09516', 'PF09518', 'PF09519', 'PF09520', 'PF09521', 'PF09549', 'PF09553', 'PF09554', 'PF09561', 'PF09562', 'PF09563', 'PF09564', 'PF09566', 'PF09568', 'PF09569', 'PF09570', 'PF09571', 'PF09572', 'PF09573', 'PF09588', 'PF09623', 'PF09631', 'PF09651', 'PF09659', 'PF09670', 'PF09810', 'PF09823', 'PF09929', 'PF10107', 'PF10117', 'PF10356', 'PF10881', 'PF10926', 'PF11103', 'PF11407', 'PF11463', 'PF11487', 'PF11564', 'PF11645', 'PF12183', 'PF12187', 'PF12684', 'PF12705', 'PF12784', 'PF13020', 'PF13156', 'PF13366', 'PF13588', 'PF13635', 'PF14082', 'PF14281', 'PF14390', 'PF14511', 'PF14562', 'PF15514', 'PF15515', 'PF15516', 'PF15517', 'PF15518', 'PF15646', 'PF15647', 'PF15648', 'PF15649', 'PF15650', 'PF17296', 'PF17946', 'PF17949', 'PF18451', 'PF18474', 'PF18643', 'PF18664', 'PF18740', 'PF18741', 'PF18742', 'PF18743', 'PF19225', 'PF19500', 'PF19778', 'PF19810', 'PF20376', 'PF20472', 'PF20516', 'PF20796', 'PF21111', 'PF21598']","['PF01974', 'PF02732', 'PF03834', 'PF03871', 'PF05091', 'PF07147', 'PF08373', 'PF08652', 'PF08696', 'PF08774', 'PF09631', 'PF09810', 'PF17949', 'PF18474']"
CL0238,"['PF00481', 'PF07228', 'PF13672', 'PF21511']",[]
CL0239,"['PF00049', 'PF03488']",['PF00049']
CL0240,"['PF00365', 'PF00781', 'PF01513', 'PF18468']",[]
CL0241,"['PF00664', 'PF05992', 'PF06472', 'PF13748']",[]
CL0242,"['PF03041', 'PF04104']",['PF04104']
CL0243,"['PF01896', 'PF03090', 'PF18188', 'PF21686']",['PF01896']
CL0244,"['PF01471', 'PF08823', 'PF09374', 'PF21398']",[]
CL0245,"['PF02645', 'PF02733', 'PF03610', 'PF13684']",['PF02733']
CL0247,"['PF02834', 'PF05213', 'PF05881', 'PF06299', 'PF07823', 'PF08975', 'PF09749', 'PF10469', 'PF13563']","['PF05881', 'PF09749', 'PF10469']"
CL0248,"['PF02195', 'PF03235', 'PF08857', 'PF18763', 'PF20188']",[]
CL0249,"['PF05100', 'PF08875']",[]
CL0250,"['PF02938', 'PF08887', 'PF14544']",['PF02938']
CL0251,"['PF02493', 'PF07661']",[]
CL0254,"['PF00456', 'PF00676', 'PF01855', 'PF02775', 'PF02776', 'PF02779', 'PF03894', 'PF09364', 'PF13292', 'PF17831']","['PF00456', 'PF00676', 'PF02775', 'PF02776', 'PF02779']"
CL0255,"['PF00213', 'PF00430', 'PF00895', 'PF01991', 'PF02108', 'PF02326', 'PF03179', 'PF05405', 'PF05933', 'PF06188', 'PF06635', 'PF09811', 'PF16999']","['PF00213', 'PF00895', 'PF01991', 'PF03179', 'PF05405', 'PF09811']"
CL0257,"['PF00583', 'PF00765', 'PF01233', 'PF01853', 'PF02100', 'PF02388', 'PF02474', 'PF02794', 'PF02799', 'PF03588', 'PF04339', 'PF04376', 'PF04377', 'PF04768', 'PF04958', 'PF05292', 'PF05301', 'PF06557', 'PF06852', 'PF07395', 'PF08214', 'PF08444', 'PF08445', 'PF09390', 'PF09924', 'PF11090', 'PF11124', 'PF12261', 'PF12568', 'PF12746', 'PF13302', 'PF13420', 'PF13444', 'PF13480', 'PF13508', 'PF13523', 'PF13527', 'PF13673', 'PF13718', 'PF13880', 'PF14542', 'PF16092', 'PF17013', 'PF17668', 'PF18014', 'PF18015', 'PF18164', 'PF18407', 'PF18467', 'PF18713']","['PF01233', 'PF01853', 'PF02100', 'PF02799', 'PF04376', 'PF04377', 'PF04768', 'PF05292', 'PF05301', 'PF08214', 'PF08444', 'PF13718', 'PF13880', 'PF14542', 'PF16092']"
CL0258,"['PF05746', 'PF08264', 'PF09190', 'PF19303']","['PF05746', 'PF08264', 'PF19303']"
CL0259,"['PF03968', 'PF06835', 'PF13100']",[]
CL0260,"['PF01743', 'PF01909', 'PF02410', 'PF03281', 'PF03296', 'PF03445', 'PF03710', 'PF03813', 'PF04229', 'PF04439', 'PF04607', 'PF04991', 'PF06042', 'PF07528', 'PF07733', 'PF07984', 'PF08843', 'PF09139', 'PF09970', 'PF10127', 'PF10620', 'PF10706', 'PF12281', 'PF12633', 'PF14091', 'PF14540', 'PF14792', 'PF14907', 'PF17405', 'PF18144', 'PF18765', 'PF19088', 'PF19502', 'PF20697', 'PF20750', 'PF21297', 'PF21418', 'PF21649', 'PF21654', 'PF21655']","['PF01743', 'PF03281', 'PF03813', 'PF04991', 'PF07528', 'PF07984', 'PF09139', 'PF14792', 'PF17405', 'PF19088']"
CL0262,"['PF05698', 'PF09312', 'PF13623', 'PF13624']",[]
CL0263,"['PF01223', 'PF01844', 'PF02945', 'PF03165', 'PF04231', 'PF05315', 'PF05551', 'PF05766', 'PF06147', 'PF07510', 'PF09230', 'PF12639', 'PF13391', 'PF13392', 'PF13395', 'PF13930', 'PF14279', 'PF14410', 'PF14411', 'PF14412', 'PF14414', 'PF16784', 'PF16786', 'PF18275', 'PF21368', 'PF21431', 'PF21586']","['PF01223', 'PF03165', 'PF09230', 'PF13392']"
CL0264,"['PF00657', 'PF03629', 'PF03996', 'PF04311', 'PF04914', 'PF07611', 'PF08885', 'PF13472', 'PF13839', 'PF14286', 'PF14606', 'PF16227', 'PF16255', 'PF16822', 'PF17182', 'PF19040', 'PF21211']","['PF03629', 'PF13839']"
CL0265,"['PF01087', 'PF01230', 'PF02509', 'PF02611', 'PF02744', 'PF04677', 'PF09830', 'PF11969', 'PF16268', 'PF16269', 'PF16285', 'PF19327', 'PF20956', 'PF21063']","['PF01087', 'PF01230', 'PF02744', 'PF04677']"
CL0266,"['PF00169', 'PF00568', 'PF00638', 'PF00640', 'PF02174', 'PF02392', 'PF02893', 'PF03517', 'PF03525', 'PF03531', 'PF03703', 'PF04683', 'PF06017', 'PF06058', 'PF06115', 'PF06173', 'PF06565', 'PF06713', 'PF06979', 'PF07289', 'PF07933', 'PF08000', 'PF08416', 'PF08458', 'PF08512', 'PF08567', 'PF08644', 'PF09380', 'PF10003', 'PF10480', 'PF10739', 'PF10756', 'PF10882', 'PF11292', 'PF11462', 'PF11531', 'PF11605', 'PF11869', 'PF12068', 'PF12456', 'PF12634', 'PF12814', 'PF14317', 'PF14470', 'PF14593', 'PF14719', 'PF14844', 'PF15165', 'PF15169', 'PF15277', 'PF15404', 'PF15405', 'PF15406', 'PF15409', 'PF15410', 'PF15411', 'PF15413', 'PF16453', 'PF16457', 'PF16652', 'PF16674', 'PF16696', 'PF16726', 'PF16764', 'PF16776', 'PF16979', 'PF17255', 'PF17292', 'PF17339', 'PF17353', 'PF17416', 'PF17417', 'PF17684', 'PF17747', 'PF17748', 'PF17787', 'PF17838', 'PF17887', 'PF17888', 'PF18012', 'PF18045', 'PF18116', 'PF18161', 'PF18469', 'PF18584', 'PF18629', 'PF18923', 'PF19039', 'PF19057', 'PF20399', 'PF20794', 'PF21003', 'PF21098', 'PF21103', 'PF21242', 'PF21477', 'PF21679', 'PF21792']","['PF00568', 'PF00638', 'PF02174', 'PF03517', 'PF03531', 'PF04683', 'PF06017', 'PF06058', 'PF06565', 'PF06979', 'PF07289', 'PF07933', 'PF08416', 'PF08512', 'PF08567', 'PF08644', 'PF10480', 'PF11531', 'PF11605', 'PF12068', 'PF12456', 'PF14593', 'PF14719', 'PF14844', 'PF15165', 'PF15169', 'PF15277', 'PF15409', 'PF15410', 'PF16453', 'PF16457', 'PF16652', 'PF16674', 'PF16696', 'PF16726', 'PF16764', 'PF16776', 'PF16979', 'PF17292', 'PF17787', 'PF17838', 'PF17887', 'PF17888', 'PF18012', 'PF18116', 'PF18584', 'PF19039']"
CL0267,"['PF00411', 'PF00861', 'PF03463', 'PF03464', 'PF10116', 'PF17144', 'PF18826', 'PF18844', 'PF18845', 'PF18846', 'PF18848', 'PF18849', 'PF18851', 'PF18854', 'PF18855', 'PF18856', 'PF18859']","['PF00411', 'PF00861', 'PF03463', 'PF03464', 'PF17144', 'PF18826']"
CL0268,"['PF00295', 'PF00544', 'PF01095', 'PF01696', 'PF02415', 'PF02691', 'PF03211', 'PF03212', 'PF03718', 'PF03775', 'PF03961', 'PF04519', 'PF05048', 'PF05594', 'PF05860', 'PF07602', 'PF08480', 'PF09251', 'PF09922', 'PF10988', 'PF12218', 'PF12541', 'PF12708', 'PF12951', 'PF13229', 'PF13332', 'PF13349', 'PF14262', 'PF14592', 'PF16168', 'PF16315', 'PF16318', 'PF17115', 'PF17161', 'PF18781', 'PF18783', 'PF18835', 'PF18836', 'PF18841', 'PF18883', 'PF18886', 'PF18889', 'PF20585', 'PF21562']","['PF05048', 'PF13349']"
CL0269,"['PF01725', 'PF01931', 'PF02545', 'PF11576']","['PF01725', 'PF01931', 'PF02545']"
CL0270,"['PF00180', 'PF01515', 'PF02504', 'PF03971', 'PF04166']",['PF00180']
CL0271,"['PF00646', 'PF06881', 'PF09372', 'PF12937', 'PF13013', 'PF15966', 'PF18511']","['PF06881', 'PF15966']"
CL0272,"['PF00615', 'PF09128']",['PF09128']
CL0273,"['PF01928', 'PF02940', 'PF08612', 'PF09359', 'PF09637', 'PF09817', 'PF10640']","['PF01928', 'PF08612', 'PF09637', 'PF09817']"
CL0274,"['PF03101', 'PF03106', 'PF03108', 'PF03615', 'PF04500', 'PF08731', 'PF09729', 'PF20783', 'PF21599']","['PF03615', 'PF04500']"
CL0276,"['PF00211', 'PF00563', 'PF00990', 'PF05165', 'PF06327', 'PF10851', 'PF12469', 'PF17853', 'PF18182']",['PF06327']
CL0277,"['PF02913', 'PF04030', 'PF08031', 'PF09129', 'PF09265', 'PF09330', 'PF18371', 'PF18690']","['PF02913', 'PF18371']"
CL0278,"['PF04752', 'PF06094', 'PF13772']","['PF04752', 'PF06094']"
CL0279,"['PF02637', 'PF04558', 'PF09424']","['PF02637', 'PF04558']"
CL0280,"['PF00752', 'PF01850', 'PF01927', 'PF01936', 'PF02639', 'PF02739', 'PF03159', 'PF04900', 'PF05991', 'PF07000', 'PF08745', 'PF10130', 'PF11977', 'PF13470', 'PF13638', 'PF14367', 'PF14626', 'PF16289', 'PF16953', 'PF17146', 'PF18475', 'PF18476', 'PF18477', 'PF18478', 'PF18479', 'PF18480', 'PF18481', 'PF20698', 'PF21484']","['PF00752', 'PF01927', 'PF01936', 'PF03159', 'PF04900', 'PF07000', 'PF11977', 'PF13638', 'PF16953', 'PF17146', 'PF18479']"
CL0281,"['PF06203', 'PF09425']",[]
CL0283,"['PF01875', 'PF02900']",['PF01875']
CL0284,"['PF05953', 'PF08261']",[]
CL0285,"['PF07435', 'PF09648']",[]
CL0286,"['PF00120', 'PF00217', 'PF02934', 'PF03074', 'PF03136', 'PF04107', 'PF04262', 'PF09899', 'PF11765', 'PF12224']","['PF00120', 'PF00217', 'PF02934', 'PF03074']"
CL0287,"['PF00576', 'PF00775', 'PF01060', 'PF01190', 'PF01847', 'PF03714', 'PF05738', 'PF06321', 'PF07210', 'PF08308', 'PF08400', 'PF08842', 'PF09430', 'PF10670', 'PF10794', 'PF11008', 'PF11182', 'PF12790', 'PF12866', 'PF12892', 'PF12985', 'PF13149', 'PF13598', 'PF13620', 'PF13715', 'PF13953', 'PF14344', 'PF14660', 'PF14686', 'PF15415', 'PF15495', 'PF15976', 'PF16249', 'PF16371', 'PF16555', 'PF16570', 'PF17145', 'PF17210', 'PF17224', 'PF17802', 'PF18002', 'PF18067', 'PF19403', 'PF19407', 'PF20200', 'PF20598', 'PF20608', 'PF20674', 'PF21489', 'PF21514', 'PF21768']","['PF00576', 'PF01847', 'PF09430', 'PF17802']"
CL0288,"['PF01678', 'PF02567', 'PF04303', 'PF05544']","['PF02567', 'PF05544']"
CL0289,"['PF01571', 'PF04268', 'PF10396']","['PF01571', 'PF10396']"
CL0290,"['PF00275', 'PF01137']",['PF01137']
CL0291,"['PF01934', 'PF05168', 'PF05942', 'PF07827', 'PF08335', 'PF08780', 'PF10335', 'PF12358', 'PF13643', 'PF17419', 'PF18280', 'PF18498', 'PF18725', 'PF18726', 'PF18728', 'PF18729', 'PF18730', 'PF18731', 'PF18732', 'PF18733', 'PF18734', 'PF18735', 'PF18736', 'PF18737', 'PF18738', 'PF18739', 'PF18867', 'PF18869', 'PF18915', 'PF19034', 'PF20797', 'PF21693']","['PF05168', 'PF18738']"
CL0292,"['PF01169', 'PF01810', 'PF01914', 'PF01925', 'PF02659', 'PF02673', 'PF02674', 'PF02683', 'PF03239', 'PF03596', 'PF03741', 'PF03824', 'PF04332', 'PF04955', 'PF11139', 'PF13386', 'PF13795', 'PF16955', 'PF19510']",['PF01169']
CL0293,"['PF00314', 'PF01289', 'PF01823', 'PF03347', 'PF04598', 'PF06355', 'PF06369', 'PF07367', 'PF21230']","['PF01823', 'PF04598']"
CL0296,"['PF00166', 'PF08240', 'PF16884']","['PF00166', 'PF16884']"
CL0297,"['PF01865', 'PF01895']",[]
CL0298,"['PF02403', 'PF02912', 'PF10458']",['PF02403']
CL0299,"['PF00717', 'PF10502', 'PF16452', 'PF18087']",[]
CL0300,"['PF02921', 'PF10399', 'PF10518']",['PF02921']
CL0301,"['PF07691', 'PF10528']",['PF07691']
CL0302,"['PF00491', 'PF00850', 'PF12640']","['PF00491', 'PF00850', 'PF12640']"
CL0303,"['PF00416', 'PF05833', 'PF06831', 'PF21763']","['PF00416', 'PF06831']"
CL0305,"['PF01981', 'PF09391']",['PF01981']
CL0306,"['PF02037', 'PF03020', 'PF07498', 'PF07766', 'PF08198', 'PF08799', 'PF09124', 'PF10208', 'PF11774', 'PF12949', 'PF18081', 'PF18410', 'PF18953', 'PF21169', 'PF21488', 'PF21728']","['PF03020', 'PF07766', 'PF08198', 'PF08799', 'PF10208', 'PF18410']"
CL0307,"['PF04632', 'PF04982', 'PF06081', 'PF10334', 'PF10337', 'PF11168', 'PF11744', 'PF12805', 'PF13515']",[]
CL0308,"['PF03916', 'PF04976', 'PF14589']",[]
CL0310,"['PF04978', 'PF05163', 'PF07606', 'PF07609', 'PF08020', 'PF09351', 'PF11716', 'PF12867']",[]
CL0311,"['PF02036', 'PF07398', 'PF13530', 'PF14864', 'PF17843', 'PF17844']",['PF02036']
CL0312,"['PF05171', 'PF06228']",[]
CL0314,"['PF00550', 'PF07377', 'PF10501', 'PF14573', 'PF18325']",['PF10501']
CL0315,"['PF01891', 'PF02592', 'PF02632', 'PF04093', 'PF06177', 'PF07155', 'PF07456', 'PF07694', 'PF09512', 'PF09515', 'PF12822', 'PF17099', 'PF20221', 'PF20973']",[]
CL0316,"['PF01757', 'PF04235', 'PF05857', 'PF07779', 'PF07786', 'PF10129', 'PF11318', 'PF12291', 'PF16401']","['PF07779', 'PF07786']"
CL0317,"['PF02085', 'PF02276', 'PF02335', 'PF03264', 'PF03892', 'PF09698', 'PF09699', 'PF09719', 'PF11783', 'PF13435', 'PF13447', 'PF13695', 'PF14522', 'PF14537', 'PF17180', 'PF18978']","['PF13695', 'PF17180']"
CL0318,"['PF00034', 'PF02167', 'PF02433', 'PF03150', 'PF06537', 'PF07635', 'PF09086', 'PF09098', 'PF09626', 'PF10643', 'PF13442', 'PF14376', 'PF14495', 'PF21342', 'PF21419']",['PF02167']
CL0319,"['PF01951', 'PF02169', 'PF02491', 'PF03876', 'PF04832', 'PF06445', 'PF07311', 'PF14526', 'PF16753']","['PF01951', 'PF03876', 'PF04832']"
CL0320,"['PF00031', 'PF00666', 'PF03413', 'PF04355', 'PF06907', 'PF07430', 'PF07448', 'PF07467', 'PF07504', 'PF09200', 'PF11396', 'PF11399', 'PF12978', 'PF13028', 'PF13670', 'PF13995', 'PF14172', 'PF14620', 'PF14731', 'PF16244', 'PF16845', 'PF17881', 'PF20630']","['PF06907', 'PF07448']"
CL0321,"['PF01477', 'PF06232', 'PF10182']",[]
CL0322,"['PF00873', 'PF02355', 'PF02460', 'PF03176', 'PF12349', 'PF21760']","['PF02460', 'PF03176', 'PF12349']"
CL0323,"['PF00698', 'PF01734', 'PF01735', 'PF16073', 'PF19890']",['PF01735']
CL0324,"['PF00961', 'PF03161', 'PF05204', 'PF09062', 'PF10298', 'PF14527', 'PF14528']",[]
CL0326,"['PF00541', 'PF01664', 'PF04582', 'PF08931', 'PF16812', 'PF21583']",[]
CL0328,"['PF00033', 'PF01292', 'PF01578', 'PF01794', 'PF02628', 'PF03188', 'PF09990', 'PF10348', 'PF13631', 'PF14358', 'PF20139']","['PF00033', 'PF01794', 'PF02628', 'PF03188']"
CL0329,"['PF00204', 'PF00288', 'PF00380', 'PF00475', 'PF00825', 'PF01119', 'PF01138', 'PF01205', 'PF03331', 'PF03719', 'PF03764', 'PF05362', 'PF08714', 'PF09108', 'PF09239', 'PF10509', 'PF13541', 'PF17942']","['PF00204', 'PF00380', 'PF01119', 'PF01138', 'PF01205', 'PF03719', 'PF03764', 'PF05362', 'PF17942']"
CL0330,"['PF02141', 'PF07792', 'PF08616', 'PF09794', 'PF09804']","['PF09794', 'PF09804']"
CL0331,"['PF03245', 'PF04350', 'PF04612', 'PF05137', 'PF10721', 'PF10741', 'PF12693', 'PF18222']",[]
CL0333,"['PF00030', 'PF03995', 'PF08964', 'PF09076', 'PF09117', 'PF09207', 'PF15138', 'PF17945', 'PF18258']","['PF00030', 'PF15138']"
CL0334,"['PF01014', 'PF01227', 'PF01242', 'PF02152', 'PF02649', 'PF14489', 'PF14819']","['PF01227', 'PF01242']"
CL0335,"['PF01127', 'PF02300', 'PF02313', 'PF05328', 'PF07950']",['PF01127']
CL0336,"['PF01243', 'PF01613', 'PF04075', 'PF04289', 'PF04299', 'PF10012', 'PF12766', 'PF12900', 'PF13883', 'PF16242']",[]
CL0337,"['PF00472', 'PF10213']","['PF00472', 'PF10213']"
CL0339,"['PF01228', 'PF02867', 'PF02901', 'PF05167', 'PF11230', 'PF13597']",['PF02867']
CL0340,"['PF00359', 'PF07565']",['PF07565']
CL0341,"['PF02866', 'PF11975']",['PF02866']
CL0342,"['PF03783', 'PF03886', 'PF03923', 'PF04052', 'PF04390', 'PF05211', 'PF05643', 'PF11684', 'PF13036', 'PF13590', 'PF16539', 'PF17680', 'PF18500']",[]
CL0343,"['PF00129', 'PF00969', 'PF00993', 'PF11624', 'PF14586', 'PF16497', 'PF21584']","['PF00969', 'PF00993', 'PF16497']"
CL0344,"['PF00037', 'PF04060', 'PF04068', 'PF04879', 'PF05187', 'PF06902', 'PF12797', 'PF12798', 'PF12800', 'PF12801', 'PF12837', 'PF12838', 'PF13183', 'PF13187', 'PF13237', 'PF13247', 'PF13353', 'PF13370', 'PF13459', 'PF13484', 'PF13534', 'PF13746', 'PF14691', 'PF14697', 'PF14710', 'PF17179', 'PF18009', 'PF18109']","['PF04068', 'PF14691']"
CL0345,"['PF01117', 'PF03318', 'PF18063']",[]
CL0346,"['PF00831', 'PF06984']","['PF00831', 'PF06984']"
CL0347,"['PF00335', 'PF03821', 'PF04103', 'PF10754', 'PF13273', 'PF15860']","['PF03821', 'PF04103']"
CL0348,"['PF02413', 'PF04883', 'PF05069', 'PF16778']",[]
CL0350,"['PF03967', 'PF05239', 'PF08683', 'PF09939', 'PF20259']","['PF08683', 'PF20259']"
CL0351,"['PF02297', 'PF05051', 'PF05676', 'PF06747', 'PF08583', 'PF08991', 'PF10200', 'PF16860']","['PF02297', 'PF05051', 'PF05676', 'PF06747', 'PF08583', 'PF08991', 'PF10200', 'PF16860']"
CL0352,"['PF00823', 'PF00934', 'PF04740', 'PF06013', 'PF10774', 'PF10817', 'PF10824', 'PF11328', 'PF17279', 'PF18625', 'PF18879', 'PF21725']",[]
CL0353,"['PF00965', 'PF01759', 'PF03146', 'PF21556']","['PF00965', 'PF01759', 'PF03146']"
CL0354,"['PF02974', 'PF09022', 'PF09023']",[]
CL0355,"['PF02154', 'PF04509', 'PF11813', 'PF13690']",[]
CL0356,"['PF01321', 'PF05195', 'PF14826', 'PF16189']","['PF01321', 'PF05195', 'PF14826']"
CL0357,"['PF00498', 'PF03166', 'PF04710', 'PF09480', 'PF10401', 'PF12538', 'PF16697', 'PF17913', 'PF18221']","['PF03166', 'PF04710', 'PF10401', 'PF17913']"
CL0359,"['PF01348', 'PF08388']",[]
CL0360,"['PF01910', 'PF07615']",[]
CL0361,"['PF00096', 'PF02176', 'PF02892', 'PF04959', 'PF05253', 'PF05443', 'PF05605', 'PF06220', 'PF07535', 'PF07776', 'PF08209', 'PF08790', 'PF09237', 'PF09337', 'PF10394', 'PF10426', 'PF11931', 'PF12171', 'PF12756', 'PF12874', 'PF12907', 'PF13465', 'PF13878', 'PF13894', 'PF13909', 'PF13912', 'PF13913', 'PF15269', 'PF15750', 'PF15909', 'PF15965', 'PF16278', 'PF16293', 'PF16588', 'PF16622', 'PF16721', 'PF17017', 'PF17772', 'PF17921', 'PF17979', 'PF18048', 'PF18112', 'PF18131', 'PF18217', 'PF18279', 'PF18366', 'PF18387', 'PF18408', 'PF18414', 'PF18439', 'PF18450', 'PF18508', 'PF18574', 'PF18608', 'PF18868', 'PF20726', 'PF21039', 'PF21137', 'PF21225', 'PF21276', 'PF21336', 'PF21341', 'PF21361', 'PF21366', 'PF21367', 'PF21816']","['PF02176', 'PF02892', 'PF04959', 'PF05253', 'PF05605', 'PF06220', 'PF07535', 'PF07776', 'PF08209', 'PF08790', 'PF10394', 'PF10426', 'PF11931', 'PF12171', 'PF12756', 'PF13878', 'PF15269', 'PF15750', 'PF15909', 'PF15965', 'PF16278', 'PF16622', 'PF17772', 'PF17979', 'PF18048', 'PF18112', 'PF18131', 'PF18279', 'PF18366', 'PF18387', 'PF18408', 'PF18439', 'PF18450', 'PF18574', 'PF18608']"
CL0362,"['PF01881', 'PF01905', 'PF03787', 'PF08798', 'PF09344', 'PF09559', 'PF09618', 'PF09700', 'PF09704', 'PF10040', 'PF17262', 'PF17952', 'PF17953', 'PF17955', 'PF18320', 'PF19308', 'PF21350', 'PF21452']",[]
CL0363,"['PF01079', 'PF05203', 'PF07591', 'PF08517', 'PF10596', 'PF13403', 'PF14623', 'PF14890']","['PF01079', 'PF08517', 'PF10596']"
